Formula,Hardness_HV,Co,Fe,Ni,Si,Al,Cr,Mo,Ti,Cu,Mn,Nb,V,Zr,B,Nd,Sn,Hf,Ta,W,Zn,Re,C,Pd,Sc,Y
Al0.24286163Fe0.31377471Mn0.28333856Ni0.15186696Ti0.00815814,330.0,0.0,0.31377471,0.15186696,0.0,0.24286163,0.0,0.0,0.00815814,0.0,0.28333856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.23756906Fe0.30693677Mn0.2771639Ni0.1485574Ti0.02977287,490.0,0.0,0.30693677,0.1485574,0.0,0.23756906,0.0,0.0,0.02977287,0.0,0.2771639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Co0.2Cr0.2Fe0.2Mn0.2Ni0.2,435.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C0.02629086Co0.23685457Cr0.23685457Fe0.23685457Ni0.23685457W0.02629086,475.0,0.23685457,0.23685457,0.23685457,0.0,0.0,0.23685457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629086,0.0,0.0,0.02629086,0.0,0.0,0.0
C0.08830795Co0.20584603Cr0.20584603Fe0.20584603Ni0.20584603W0.08830795,531.0,0.20584603,0.20584603,0.20584603,0.0,0.0,0.20584603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08830795,0.0,0.0,0.08830795,0.0,0.0,0.0
Al0.07698962Co0.28835063Cr0.19232987Fe0.19232987Ni0.19232987Ti0.05767013,515.0,0.28835063,0.19232987,0.19232987,0.0,0.07698962,0.19232987,0.0,0.05767013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.25Nb0.25Ti0.25Zr0.25,418.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.22222222Cr0.22222222Fe0.22222222Mo0.11111111Ni0.22222222,623.7,0.0,0.22222222,0.22222222,0.0,0.22222222,0.22222222,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.21052632Cr0.21052632Fe0.21052632Mo0.10526316Ni0.21052632Ti0.05263158,712.0,0.0,0.21052632,0.21052632,0.0,0.21052632,0.21052632,0.10526316,0.05263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.20408163Cr0.20408163Fe0.20408163Mo0.10204082Ni0.20408163Ti0.08163265,731.9,0.0,0.20408163,0.20408163,0.0,0.20408163,0.20408163,0.10204082,0.08163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.2Cr0.2Fe0.2Mo0.1Ni0.2Ti0.1,751.7,0.0,0.2,0.2,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19607843Cr0.19607843Fe0.19607843Mo0.09803922Ni0.19607843Ti0.11764706,756.1,0.0,0.19607843,0.19607843,0.0,0.19607843,0.19607843,0.09803922,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.19047619Cr0.19047619Fe0.19047619Mo0.0952381Ni0.19047619Ti0.14285714,766.2,0.0,0.19047619,0.19047619,0.0,0.19047619,0.19047619,0.0952381,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.25Mo0.25Nb0.25Ti0.25,509.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.25Nb0.25Ta0.25Ti0.25,458.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.25Mo0.25Ta0.25Ti0.25,539.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.25Nb0.25Ta0.25Ti0.25,495.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr0.25Nb0.25Ti0.25W0.25,630.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Hf0.25Nb0.25Ta0.25Ti0.25,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo0.2Nb0.2Ta0.2Ti0.2W0.2,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Mo0.25Nb0.25Ta0.25Ti0.25,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.09090909Cr0.18181818Cu0.18181818Fe0.18181818Ni0.18181818,473.0,0.09090909,0.18181818,0.18181818,0.0,0.18181818,0.18181818,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.09090909Cu0.18181818Fe0.18181818Ni0.18181818,367.0,0.18181818,0.18181818,0.18181818,0.0,0.18181818,0.09090909,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.18181818Cu0.18181818Fe0.09090909Ni0.18181818,418.0,0.18181818,0.09090909,0.18181818,0.0,0.18181818,0.18181818,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.18181818Co0.18181818Cr0.18181818Cu0.18181818Fe0.18181818Ni0.09090909,423.0,0.18181818,0.18181818,0.09090909,0.0,0.18181818,0.18181818,0.0,0.0,0.18181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al0.05294705Co0.21078921Cr0.21078921Fe0.26273726Ni0.26273726,168.0,0.21078921,0.26273726,0.26273726,0.0,0.05294705,0.21078921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
